Username,Numbers,Rank,rankLevel,mainrole,Main
Scallops,#LJDYA,platinum ,3,duelist,reyna
shark,#11006,bronze,2,controller,omen
bear,#0908,platinum ,2,sentinel,sage
Clownfish,#NEM0,gold,3,controller,clove
Manatee,#queso,bronze,1,controller,clove
Dolphin,#100T,diamond,2,duelist,waylay
Kaladin,#brig4,ascendant,2,controller,miks
bear,#1483,platinum ,1,controller,miks
VKTRY,#BBL,iron,2,duelist,yoru
HelloEnemy,#HE1,silver,3,duelist,jett
idrys,#bozo,ascendant,1,sentinel,chamber
Clownfish,#7925,gold,1,sentinel,deadlock
vfufu,#015,ascendant,2,controller,brimstone
billionaire,#haha,immortal,1,controller,clove
Scallops,#0608,platinum ,1,controller,clove
Kyraiscrazy,#0011,gold,1,sentinel,sage
dead,#1485,iron,2,sentinel,killjoy
#Jezarus,#seesh,diamond,2,initiator,sova
bear,#1160,bronze,2,sentinel,killjoy
Pufferfish,#9093,bronze,3,controller,brimstone
kiyoshuri,#9141,diamond,2,controller,miks
Alwx,#2615,ascendant,1,initiator,skye
ob1canoli,#cream,ascendant,2,initiator,kayo
RageARage,#Rage,immortal,1,duelist,jett
Monkem4n,#6445,bronze,1,controller,miks
TI92,#0992,bronze,2,sentinel,vyse
crab,#5187,gold,3,duelist,jett
Charoys,#PPP,ascendant,1,duelist,raze
anann,#001,immortal,1,duelist,jett
Teajayy,#clone,ascendant,2,controller,clove
coral,#18060,gold,2,controller,clove
krill,#1206,gold,3,initiator,tejo
clam,#4176,gold,2,controller,omen
FISH,#0555,silver,1,sentinel,deadlock
orion,#0510,platinum ,1,sentinel,deadlock
Pufferfish,#0110,gold,3,duelist,raze
lemon,#08199,bronze,1,sentinel,chamber
ciel,#vain,ascendant,2,controller,clove
CORAL,#PLAYS,silver,1,duelist,pheonix
rya,#ryau,platinum ,1,duelist,reyna
Velp,#4167,iron,1,controller,clove
Uncrustable,#0425,bronze,2,duelist,neon
keju,#cizz,diamond,3,duelist,reyna
caveein1,#cave,diamond,2,duelist,reyna
Sabtude,#YNX69,diamond,2,controller,miks
dreariest,#carmi,immortal,1,initiator,sova
BiPolarBear,#jell,iron,3,sentinel,sage
